+-----+------------+-----------------+--------+----------+---------------+--------+--------------+-------------+------------------+---------------+---------------+------------------+------------------------+--------------------------------+---------------+--------+---------------+-----------------------+-----------------------+-----------------------+-------------------+
|  ID | First Name |    Last Name    | Number | Position | Blocked Kicks | Losses | Losses Yards | Net Offence | Passes Attempted | Passes Rating | Passes Sacked | Passes Succeeded | Passes Succeeded Yards | Passes Succeeded Yards Longest | Penalties Yds | Rushes | Rushing Yards | Rushing Yards Average | Rushing Yards Longest | Total Defensive Plays | Touchdowns Passes |
| 430 |  DaVaris   |     Daniels     |   80   |    wr    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           0           |                   |
| 431 |    John    |     Haggerty    |   29   |    p     |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           0           |                   |
| 432 |  Kurleigh  |   Gittens Jr.   |   19   |    wr    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           0           |                   |
| 433 |   Andrew   |      Harris     |   33   |    rb    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |   4    |       19      |          4.75         |           6           |           0           |                   |
| 434 |   Trevor   |      Hoyte      |   43   |    lb    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           0           |                   |
| 435 |    Chad    |      Kelly      |   12   |    qb    |       0       |        |              |      0      |        28        |   141.36905   |               |        21        |          417           |               60               |       2       |   3    |       17      |        5.66667        |           8           |           0           |         4         |
| 438 |    A.J.    |    Ouellette    |   34   |    rb    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |   14   |       90      |        6.42857        |           27          |           0           |                   |
| 440 |  Cameron   |     Phillips    |   89   |    wr    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           0           |                   |
| 445 |  Cameron   |      Dukes      |   11   |    qb    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |   1    |       1       |           1           |           1           |           0           |                   |
| 460 |   Bryan    |      Scott      |   5    |    qb    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           0           |                   |
| 461 |  Qwantez   |     Stiggers    |   42   |    cb    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           1           |                   |
| 466 |   Jordan   |     Williams    |   1    |    lb    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           5           |                   |
| 467 |  Jonathan  |      Jones      |   30   |    lb    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           3           |                   |
| 468 |   Javon    |      Leake      |   32   |    rb    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           0           |                   |
| 471 |  Jonathan  |     Edouard     |   41   |    cb    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           2           |                   |
| 475 |    Ryan    |      Hunter     |   62   |    lt    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       2       |        |               |                       |                       |           0           |                   |
| 476 |  Jeremiah  |      Haydel     |   82   |    wr    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           0           |                   |
| 478 |   David    |   Ungerer III   |   83   |    wr    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           0           |                   |
| 568 |  Tyrrell   |     Pigrome     |   3    |    qb    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |   1    |       2       |           2           |           2           |           0           |                   |
| 664 |   Alonzo   |      Addae      |   20   |    cb    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       1       |        |               |                       |                       |           2           |                   |
| 665 |  Sherrod   |    Baltimore    |   27   |    cb    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           0           |                   |
| 666 |    Dino    |       Boyd      |   64   |    lt    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           0           |                   |
| 667 |     Ty     |     Cranston    |   33   |    cb    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           2           |                   |
| 668 |  Cyrille   |  Hogan-Saindon  |   59   |    lt    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           0           |                   |
| 671 |   Abdul    |      Kanneh     |   14   |    cb    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           4           |                   |
| 672 |   Cleyon   |      Laing      |   90   |    dt    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           1           |                   |
| 673 |    Kene    |      Onyeka     |   99   |    dt    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           0           |                   |
| 674 |   Jacob    |       Ruby      |   54   |    lt    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           0           |                   |
| 675 |   Hunter   |     Steward     |   67   |    lt    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           0           |                   |
| 680 |   Cariel   |      Brooks     |   25   |    cb    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           3           |                   |
| 681 |  Douglas   |    Coleman II   |   35   |    cb    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           5           |                   |
| 684 |   Justin   |      Howell     |   21   |    cb    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           3           |                   |
| 687 |  Michael   |    Wakefield    |   96   |    dt    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       1       |        |               |                       |                       |           3           |                   |
| 688 |   Damon    |       Webb      |   6    |    cb    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       1       |        |               |                       |                       |           4           |                   |
| 691 |   Dontae   |       Bull      |   50   |    lt    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           0           |                   |
| 697 |   Aidan    |       John      |   95   |    dt    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           0           |                   |
| 711 |  Chizurum  |     Umunakwe    |   30   |    lb    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           0           |                   |
| 716 |   Tanner   |       Doll      |   56   |    p     |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           0           |                   |
| 719 |   Nigel    |      Romick     |   47   |    dt    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           0           |                   |
| 720 |    Zack    |     Pelehos     |   52   |    lt    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           0           |                   |
| 821 |   Dejon    |      Allen      |   59   |    lt    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           0           |                   |
| 822 |  DaShaun   |       Amos      |   8    |    cb    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           5           |                   |
| 824 |   Isiah    |       Cage      |   66   |    lt    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       1       |        |               |                       |                       |           0           |                   |
| 825 | Robertson  |      Daniel     |   0    |    cb    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           8           |                   |
| 826 |    Josh    |     Hagerty     |   27   |    cb    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           1           |                   |
| 828 |  Dewayne   |     Hendrix     |   99   |    dt    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           1           |                   |
| 829 |  Deionte   |      Knight     |   92   |    dt    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           3           |                   |
| 830 |   Gregor   |    MacKellar    |   67   |    lt    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           0           |                   |
| 831 |   Benoit   |      Marion     |   93   |    dt    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           1           |                   |
| 832 |  Tarvarus  |     McFadden    |   20   |    cb    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           0           |                   |
| 833 |   Wynton   |     McManis     |   48   |    lb    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       1       |        |               |                       |                       |           8           |                   |
| 834 |   Royce    |     Metchie     |   9    |    cb    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           4           |                   |
| 835 |   Peter    |     Nicastro    |   52   |    lt    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       1       |        |               |                       |                       |           0           |                   |
| 836 |   Shawn    |      Oakman     |   2    |    cb    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           1           |                   |
| 838 |   Shane    |     Richards    |   68   |    lt    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           0           |                   |
| 839 |   Robbie   |      Smith      |   40   |    dt    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           3           |                   |
| 841 |  Adarius   |     Pickett     |   6    |    cb    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           7           |                   |
| 842 |  Folarin   |    Orimolade    |   7    |    dt    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       1       |        |               |                       |                       |           5           |                   |
| 847 |   Darius   |      Ciraco     |   53   |    lt    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           0           |                   |
| 850 |   Thomas   |     Costigan    |   97   |    dt    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           1           |                   |
| 854 |    Adam    |   Guillemette   |   47   |    p     |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           0           |                   |
| 937 |   Bryce    |      Carter     |   58   |    dt    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           2           |                   |
| 951 |   Jamal    |      Peters     |   3    |    cb    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           3           |                   |
| 970 |   Tobias   |      Harris     |   41   |    cb    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           0           |                   |
+-----+------------+-----------------+--------+----------+---------------+--------+--------------+-------------+------------------+---------------+---------------+------------------+------------------------+--------------------------------+---------------+--------+---------------+-----------------------+-----------------------+-----------------------+-------------------+
